Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Description,Risk target
28,male,2,own,little,moderate,9572,36,business,"1. This is a 28-year-old male applicant seeking a business loan of $9,572 with a 36-month repayment term. He owns his housing, has little savings, and a moderate checking account balance. His job level is rated 2, indicating a stable income source.",Bad risk
30,male,3,own,little,moderate,4455,36,business,"2. This is a 30-year-old male applicant seeking a business loan of $4,455 with a 36-month repayment term. He owns his housing, has little savings, and a moderate checking account balance. His job level is rated 3, suggesting a higher income level.",Good risk
40,male,1,own,little,little,1647,21,car,"3. This is a 40-year-old male applicant seeking a car loan of $1,647 with a 21-month repayment term. He owns his housing, has little savings and a little checking account balance. His job level is rated 1, indicating a lower income source.",Bad risk
50,male,2,own,rich,moderate,3777,24,furniture/equipment,"4. This is a 50-year-old male applicant seeking a loan of $3,777 for furniture/equipment with a 24-month repayment term. He owns his housing, has a rich savings account, and a moderate checking account balance. His job level is rated 2, suggesting a stable income source.",Good risk
36,male,2,own,little,moderate,884,18,car,"5. This is a 36-year-old male applicant seeking a car loan of $884 with an 18-month repayment term. He owns his housing, has little savings, and a moderate checking account balance. His job level is rated 2, indicating a stable income source.",Good risk
31,male,2,own,little,moderate,1360,15,radio/TV,"1. The applicant is a 31-year-old male with a moderate level of income (job level 2) and owns a home. He has a small savings account balance but a moderate checking account balance. He is requesting a loan of $1,360 over 15 months to purchase a radio or TV.",Good risk
74,female,3,free,little,moderate,5129,9,car,"2. The applicant is a 74-year-old female with a higher level of income (job level 3) and has free housing. She has a small savings account balance but a moderate checking account balance. She is requesting a loan of $5,129 over 9 months to purchase a car.",Good risk
68,male,0,free,little,moderate,1175,16,car,"3. The applicant is a 68-year-old male with a low level of income (job level 0) and has free housing. He has a small savings account balance but a moderate checking account balance. He is requesting a loan of $1,175 over 16 months to purchase a car.",Bad risk
20,male,2,own,moderate,little,674,12,radio/TV,4. The applicant is a 20-year-old male with a moderate level of income (job level 2) and owns a home. He has a moderate savings account balance but a small checking account balance. He is requesting a loan of $674 over 12 months to purchase a radio or TV.,Good risk
33,female,2,own,little,moderate,3244,18,furniture/equipment,"5. The applicant is a 33-year-old female with a moderate level of income (job level 2) and owns a home. She has a small savings account balance but a moderate checking account balance. She is requesting a loan of $3,244 over 18 months to purchase furniture or equipment.",Good risk
54,male,3,own,rich,moderate,4591,24,business,"1. The applicant is a 54-year-old male with a job level of 3, indicating a stable income. He owns a home and has a rich savings account and moderate checking account balance. He is seeking a business loan of $4,591 with a 24-month repayment period.",Good risk
34,male,1,free,moderate,moderate,3844,48,business,"2. The applicant is a 34-year-old male with a job level of 1, suggesting a lower income. He has free housing, moderate savings, and checking account balances. He is applying for a business loan of $3,844 with a 48-month repayment period.",Bad risk
36,male,2,own,little,moderate,3915,27,business,"3. The applicant is a 36-year-old male with a job level of 2, indicating a moderate income. He owns a home but has little savings and a moderate checking account balance. He is seeking a business loan of $3,915 with a 27-month repayment period.",Bad risk
29,male,2,rent,little,moderate,2108,6,radio/TV,"4. The applicant is a 29-year-old male with a job level of 2, suggesting a moderate income. He rents a home and has little savings but a moderate checking account balance. He is applying for a $2,108 loan for radio/TV purposes with a 6-month repayment period.",Bad risk
21,male,2,rent,moderate,moderate,3031,45,radio/TV,"5. The applicant is a 21-year-old male with a job level of 2, indicating a moderate income. He rents a home and has moderate savings and checking account balances. He is seeking a $3,031 loan for radio/TV purposes with a 45-month repayment period.",Bad risk
34,female,3,own,little,moderate,1501,9,education,"1. The applicant is a 34-year-old female with a moderate job level, who owns her housing. She has little savings but a moderate checking account balance. She is seeking a loan of $1,501 for a 9-month period to finance her education expenses.",Good risk
28,female,2,own,little,moderate,1382,6,radio/TV,"2. The applicant is a 28-year-old female with a lower job level, who owns her housing. She has little savings but a moderate checking account balance. She is requesting a loan of $1,382 for a 6-month period to purchase a radio or TV.",Bad risk
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,"3. The applicant is a 27-year-old female with a lower job level, who rents her housing. She has moderate savings and a moderate checking account balance. She is applying for a $951 loan with a 12-month term to finance the purchase of furniture or equipment.",Good risk
36,male,2,free,little,moderate,2760,24,car,"4. The applicant is a 36-year-old male with a lower job level, who lives in free housing. He has little savings but a moderate checking account balance. He is seeking a loan of $2,760 with a 24-month term to finance the purchase of a car.",Bad risk
40,male,3,own,little,moderate,4297,18,furniture/equipment,"5. The applicant is a 40-year-old male with a moderate job level, who owns his housing. He has little savings but a moderate checking account balance. He is requesting a loan of $4,297 for an 18-month period to finance the purchase of furniture or equipment.",Bad risk
52,male,2,own,quite rich,moderate,936,9,education,"1. This applicant is a 52-year-old male with a moderate job level and a stable housing situation as a homeowner. He has a quite rich savings account and a moderate checking account balance. The requested credit amount of $936 for a 9-month loan duration is intended for educational purposes, indicating a commitment to personal or professional development.",Good risk
27,male,1,own,little,little,1168,12,car,"2. The applicant is a 27-year-old male with an entry-level job and a homeowner. While his savings and checking account balances are little, he is seeking a $1,168 loan with a 12-month duration to finance a car purchase, suggesting a need for reliable transportation.",Good risk
26,male,2,own,little,moderate,5117,27,business,"3. This 26-year-old male applicant has a moderate job level and owns his home. Despite having little savings, he maintains a moderate checking account balance. He is requesting a substantial credit amount of $5,117 with a 27-month loan duration for business purposes, indicating entrepreneurial aspirations or an existing business venture.",Bad risk
21,male,2,rent,little,little,902,12,education,"4. The applicant is a 21-year-old male with a moderate job level and a renter's housing situation. He has little savings and checking account balances. The requested credit amount of $902 with a 12-month loan duration is intended for educational purposes, suggesting a commitment to furthering his studies or acquiring new skills.",Good risk
38,male,1,own,little,moderate,1495,12,car,"5. This 38-year-old male applicant has an entry-level job but owns his home. While his savings account balance is little, he maintains a moderate checking account balance. He is seeking a $1,495 loan with a 12-month duration to finance a car purchase, potentially indicating a need for reliable transportation for work or personal use.",Good risk
38,male,3,free,little,little,10623,30,car,"1. This 38-year-old male applicant with a job level of 3 and free housing is seeking a credit amount of 10,623 for a car loan with a duration of 30 months. He has little funds in his savings and checking accounts, which may impact his ability to make consistent payments.",Bad risk
43,male,2,own,little,moderate,1935,12,furniture/equipment,"2. The applicant is a 43-year-old male with a job level of 2 and owns his housing. He has little savings but a moderate checking account balance. He is requesting a credit amount of 1,935 for furniture/equipment with a 12-month loan duration.",Good risk
26,male,2,own,little,moderate,1424,12,domestic appliances,"3. This 26-year-old male applicant, with a job level of 2 and housing ownership, is seeking a credit amount of 1,424 for domestic appliances. The loan duration is 12 months. He has little savings but a moderate checking account balance.",Good risk
21,male,1,own,little,little,6568,24,business,"4. The applicant is a 21-year-old male with a job level of 1 and housing ownership. He has little funds in both his savings and checking accounts. He is requesting a credit amount of 6,568 for business purposes, with a loan duration of 24 months.",Bad risk
55,male,2,own,rich,moderate,1413,12,car,"5. This 55-year-old male applicant, with a job level of 2 and housing ownership, has a rich savings account and a moderate checking account balance. He is seeking a credit amount of 1,413 for a car loan with a 12-month duration.",Good risk
33,male,2,own,little,moderate,3074,9,radio/TV,"1. The applicant is a 33-year-old male with a job level of 2, owning a home. He has little savings but a moderate checking account balance. The requested credit amount is 3074, with a loan duration of 9 months, for the purpose of purchasing a radio/TV.",Good risk
45,female,1,own,little,moderate,3835,36,radio/TV,"2. The applicant is a 45-year-old female with a job level of 1, owning a home. She has little savings but a moderate checking account balance. The requested credit amount is 3835, with a loan duration of 36 months, for the purpose of purchasing a radio/TV.",Bad risk
50,male,2,own,little,little,5293,27,business,"3. The applicant is a 50-year-old male with a job level of 2, owning a home. He has little savings and a little checking account balance. The requested credit amount is 5293, with a loan duration of 27 months, for business purposes.",Bad risk
66,male,3,own,little,rich,1908,30,business,"4. The applicant is a 66-year-old male with a job level of 3, owning a home. He has little savings but a rich checking account balance. The requested credit amount is 1908, with a loan duration of 30 months, for business purposes.",Bad risk
51,male,2,own,little,moderate,3342,36,radio/TV,"5. The applicant is a 51-year-old male with a job level of 2, owning a home. He has little savings but a moderate checking account balance. The requested credit amount is 3342, with a loan duration of 36 months, for the purpose of purchasing a radio/TV.",Bad risk
39,female,1,own,moderate,moderate,932,6,education,1. The applicant is a 39-year-old female with a moderate savings account and checking account balance. She has a job and owns a home. The requested credit amount of $932 is for educational purposes with a loan duration of 6 months.,Good risk
31,male,2,own,little,little,3104,18,business,"2. The applicant is a 31-year-old male with little savings and checking account balances. He has a job and owns a home. The requested credit amount of $3,104 is for business purposes with a loan duration of 18 months.",Bad risk
23,male,2,own,little,rich,3913,36,radio/TV,"3. The applicant is a 23-year-old male with little savings but a rich checking account balance. He has a job and owns a home. The requested credit amount of $3,913 is for radio/TV purposes with a loan duration of 36 months.",Bad risk
24,male,1,rent,little,little,3021,24,furniture/equipment,"4. The applicant is a 24-year-old male with little savings and checking account balances. He has a job but rents his housing. The requested credit amount of $3,021 is for furniture/equipment purposes with a loan duration of 24 months.",Bad risk
64,female,2,own,little,moderate,1364,10,car,"5. The applicant is a 64-year-old female with little savings and a moderate checking account balance. She has a job and owns a home. The requested credit amount of $1,364 is for a car purchase with a loan duration of 10 months.",Good risk
26,male,1,own,little,moderate,625,12,radio/TV,1. This credit applicant is a 26-year-old male with a moderate checking account balance and little savings. He is seeking a loan of $625 for 12 months to purchase a radio or TV. His job level and housing situation (owning a property) are positive factors in his credit profile.,Good risk
23,female,2,rent,little,little,1200,12,education,"2. This is a 23-year-old female applicant with little savings and checking account balances. She is requesting a $1,200 loan for 12 months to fund her education. Her job level and renting a property may be considered in the credit evaluation process.",Good risk
30,male,2,own,little,moderate,707,12,radio/TV,3. The applicant is a 30-year-old male with a moderate checking account balance and little savings. He is seeking a $707 loan for 12 months to purchase a radio or TV. His job level and owning a property could be viewed favorably in the credit assessment.,Good risk
32,male,2,own,little,moderate,2978,24,business,"4. This credit application is from a 32-year-old male who owns a property and has a moderate checking account balance with little savings. He is requesting a $2,978 loan for 24 months for business purposes. His job level and loan purpose may be taken into account during the credit evaluation.",Bad risk
30,male,2,own,little,moderate,4657,15,car,"5. The applicant is a 30-year-old male who owns a property and has a moderate checking account balance with little savings. He is seeking a $4,657 loan for 15 months to purchase a car. His job level and loan purpose could be considered in the credit assessment process.",Bad risk
27,male,2,own,little,moderate,2613,36,repairs,"1. The applicant is a 27-year-old male with a moderate income level, owning a property. He has a little savings account balance and a moderate checking account balance. He is seeking a credit amount of $2,613 for a 36-month term to finance repairs, which suggests a need for home improvement or maintenance.",Good risk
27,male,2,own,rich,moderate,10961,48,radio/TV,"2. The applicant is a 27-year-old male with a moderate income level, owning a property. He has a rich savings account balance and a moderate checking account balance. He is seeking a substantial credit amount of $10,961 for a 48-month term to purchase a radio or TV, indicating a desire for consumer electronics or entertainment equipment.",Bad risk
53,male,3,free,little,little,7865,12,furniture/equipment,"3. The applicant is a 53-year-old male with a higher income level, living in free housing. He has a little savings account balance and a little checking account balance. He is seeking a credit amount of $7,865 for a 12-month term to purchase furniture or equipment, suggesting a need for household goods or business-related equipment.",Bad risk
22,male,2,own,little,moderate,1478,9,radio/TV,"4. The applicant is a 22-year-old male with a moderate income level, owning a property. He has a little savings account balance and a moderate checking account balance. He is seeking a credit amount of $1,478 for a 9-month term to purchase a radio or TV, indicating a desire for consumer electronics or entertainment equipment.",Good risk
22,male,2,free,little,little,3149,24,furniture/equipment,"5. The applicant is a 22-year-old male with a moderate income level, living in free housing. He has a little savings account balance and a little checking account balance. He is seeking a credit amount of $3,149 for a 24-month term to purchase furniture or equipment, suggesting a need for household goods or business-related equipment.",Bad risk
26,male,2,own,little,rich,4210,36,radio/TV,"1. This applicant is a 26-year-old male with a moderate job level. He owns a home and has little savings but a rich checking account. He is seeking a loan of $4,210 over 36 months for the purpose of purchasing a radio or TV.",Bad risk
51,male,1,free,quite rich,moderate,2507,9,car,"2. This applicant is a 51-year-old male with a low job level. He has free housing and quite rich savings, along with a moderate checking account. He is seeking a loan of $2,507 over 9 months for the purpose of purchasing a car.",Good risk
35,male,2,own,moderate,moderate,2141,12,radio/TV,"3. This applicant is a 35-year-old male with a moderate job level. He owns a home and has moderate savings and a moderate checking account. He is seeking a loan of $2,141 over 12 months for the purpose of purchasing a radio or TV.",Good risk
25,male,1,own,little,moderate,866,18,radio/TV,4. This applicant is a 25-year-old male with a low job level. He owns a home and has little savings but a moderate checking account. He is seeking a loan of $866 over 18 months for the purpose of purchasing a radio or TV.,Good risk
42,male,1,own,little,moderate,1544,4,radio/TV,"5. This applicant is a 42-year-old male with a low job level. He owns a home and has little savings but a moderate checking account. He is seeking a loan of $1,544 over 4 months for the purpose of purchasing a radio or TV.",Good risk
30,male,3,own,little,little,1823,24,radio/TV,"1. This is a 30-year-old male applicant with a job level of 3, who owns a home. They have little savings and checking account balances. The applicant is seeking a credit amount of 1823 for a 24-month loan to purchase a radio or TV.",Good risk
23,male,0,own,little,moderate,14555,6,car,"2. The applicant is a 23-year-old male with no job level specified, who owns a home. They have little savings but a moderate checking account balance. The applicant is requesting a credit amount of 14555 for a 6-month loan to purchase a car.",Bad risk
61,male,1,rent,moderate,moderate,2767,21,business,"3. This is a 61-year-old male applicant with a job level of 1, who is renting their housing. They have moderate savings and checking account balances. The applicant is seeking a credit amount of 2767 for a 21-month loan for business purposes.",Bad risk
35,female,2,own,little,moderate,1291,12,radio/TV,"4. The applicant is a 35-year-old female with a job level of 2, who owns a home. They have little savings but a moderate checking account balance. The applicant is requesting a credit amount of 1291 for a 12-month loan to purchase a radio or TV.",Good risk
39,male,2,own,little,little,2522,30,radio/TV,"5. This is a 39-year-old male applicant with a job level of 2, who owns a home. They have little savings and checking account balances. The applicant is seeking a credit amount of 2522 for a 30-month loan to purchase a radio or TV.",Bad risk
29,female,2,own,little,little,915,24,car,"1. The applicant is a 29-year-old female with a job level of 2, owning her own housing. She has little funds in her savings and checking accounts. She is seeking a credit amount of 915 for a car loan with a duration of 24 months.",Good risk
51,male,2,own,little,moderate,1595,6,radio/TV,"2. The applicant is a 51-year-old male with a job level of 2, owning his own housing. He has little funds in his savings account and moderate funds in his checking account. He is seeking a credit amount of 1595 for a radio/TV purchase with a loan duration of 6 months.",Good risk
24,male,2,free,little,little,4605,48,car,"3. The applicant is a 24-year-old male with a job level of 2, living in free housing. He has little funds in both his savings and checking accounts. He is seeking a substantial credit amount of 4605 for a car loan with a duration of 48 months.",Bad risk
27,female,2,own,little,moderate,1185,12,business,"4. The applicant is a 27-year-old female with a job level of 2, owning her own housing. She has little funds in her savings account and moderate funds in her checking account. She is seeking a credit amount of 1185 for a business loan with a duration of 12 months.",Good risk
35,female,1,own,quite rich,moderate,3447,12,education,"5. The applicant is a 35-year-old female with a job level of 1, owning her own housing. She has quite rich savings and moderate funds in her checking account. She is seeking a credit amount of 3447 for an education loan with a duration of 12 months.",Good risk
25,male,2,own,little,moderate,1258,24,business,"1. This is a 25-year-old male applicant with a job level of 2, who owns his housing and has little savings but a moderate checking account balance. He is seeking a credit amount of 1258 for a 24-month loan for business purposes.",Good risk
52,male,2,own,little,moderate,717,12,radio/TV,"2. This is a 52-year-old male applicant with a job level of 2, who owns his housing and has little savings but a moderate checking account balance. He is seeking a credit amount of 717 for a 12-month loan to purchase a radio or TV.",Good risk
35,male,2,rent,moderate,moderate,1204,6,car,"3. This is a 35-year-old male applicant with a job level of 2, who rents his housing and has moderate savings and checking account balances. He is seeking a credit amount of 1204 for a 6-month loan to purchase a car.",Good risk
26,male,2,own,little,rich,1925,24,furniture/equipment,"4. This is a 26-year-old male applicant with a job level of 2, who owns his housing and has little savings but a rich checking account balance. He is seeking a credit amount of 1925 for a 24-month loan to purchase furniture or equipment.",Good risk
22,female,2,rent,little,moderate,433,18,radio/TV,"5. This is a 22-year-old female applicant with a job level of 2, who rents her housing and has little savings but a moderate checking account balance. She is seeking a credit amount of 433 for an 18-month loan to purchase a radio or TV.",Good risk
39,female,1,own,rich,little,666,6,car,"1. The applicant is a 39-year-old female with a moderate income level, owning a property. She has a substantial savings account but a limited checking account balance. The requested credit amount of $666 is for a car loan with a duration of 6 months.",Good risk
46,female,1,own,little,rich,2251,12,furniture/equipment,"2. This 46-year-old female applicant with a moderate income level owns a property. She has a limited savings account but a substantial checking account balance. The requested credit amount of $2,251 is for a furniture/equipment loan with a duration of 12 months.",Good risk
24,female,2,own,little,moderate,2150,30,car,"3. The applicant is a 24-year-old female with a skilled job level, owning a property. She has a limited savings account and a moderate checking account balance. The requested credit amount of $2,150 is for a car loan with a duration of 30 months.",Good risk
35,male,2,own,moderate,moderate,4151,24,furniture/equipment,"4. This 35-year-old male applicant with a skilled job level owns a property. He has a moderate savings account and checking account balance. The requested credit amount of $4,151 is for a furniture/equipment loan with a duration of 24 months.",Good risk
24,male,2,own,little,moderate,2030,9,furniture/equipment,"5. The applicant is a 24-year-old male with a skilled job level, owning a property. He has a limited savings account and a moderate checking account balance. The requested credit amount of $2,030 is for a furniture/equipment loan with a duration of 9 months.",Good risk
27,male,1,own,little,moderate,7418,60,radio/TV,"1. This 27-year-old male applicant with a job level of 1 and little savings account balance is seeking a loan of $7,418 for a radio/TV purchase. He owns his housing and has a moderate checking account balance. The loan duration requested is 60 months.",Bad risk
35,male,1,own,little,moderate,2684,24,radio/TV,"2. This 35-year-old male applicant with a job level of 1 and little savings account balance is seeking a loan of $2,684 for a radio/TV purchase. He owns his housing and has a moderate checking account balance. The loan duration requested is 24 months.",Bad risk
29,male,2,free,little,little,2149,12,radio/TV,"3. This 29-year-old male applicant with a job level of 2 and little savings and checking account balances is seeking a loan of $2,149 for a radio/TV purchase. He has free housing. The loan duration requested is 12 months.",Bad risk
23,female,2,own,moderate,moderate,3812,15,car,"4. This 23-year-old female applicant with a job level of 2 and moderate savings and checking account balances is seeking a loan of $3,812 for a car purchase. She owns her housing. The loan duration requested is 15 months.",Good risk
57,female,1,own,moderate,moderate,1154,11,radio/TV,"5. This 57-year-old female applicant with a job level of 1 and moderate savings and checking account balances is seeking a loan of $1,154 for a radio/TV purchase. She owns her housing. The loan duration requested is 11 months.",Good risk
27,male,2,own,little,little,1657,12,furniture/equipment,"1. This applicant is a 27-year-old male with a job level of 2, who owns his housing. He has little savings and checking account balances. He is seeking a credit amount of 1657 for a 12-month loan to finance furniture or equipment.",Bad risk
55,female,2,own,little,little,1603,24,radio/TV,"2. The applicant is a 55-year-old female with a job level of 2, who owns her housing. She has little savings and checking account balances. She is requesting a credit amount of 1603 for a 24-month loan to purchase a radio or TV.",Bad risk
36,male,3,free,little,little,5302,18,car,"3. This is a 36-year-old male with a job level of 3, living in free housing. He has little savings and checking account balances. He is applying for a credit amount of 5302 for an 18-month loan to finance a car purchase.",Bad risk
57,female,1,free,little,moderate,2748,12,education,"4. The applicant is a 57-year-old female with a job level of 1, living in free housing. She has little savings and a moderate checking account balance. She is seeking a credit amount of 2748 for a 12-month loan for educational purposes.",Bad risk
32,male,1,own,little,moderate,1231,10,car,"5. This applicant is a 32-year-old male with a job level of 1, who owns his housing. He has little savings and a moderate checking account balance. He is applying for a credit amount of 1231 for a 10-month loan to finance a car purchase.",Bad risk
37,male,2,own,little,moderate,802,15,radio/TV,1. The applicant is a 37-year-old male with a moderate job level and owns a home. He has little savings but a moderate checking account balance. He is seeking a credit amount of 802 for a 15-month loan to purchase a radio or TV.,Good risk
36,male,2,own,little,moderate,6304,36,business,2. The applicant is a 36-year-old male with a moderate job level and owns a home. He has little savings but a moderate checking account balance. He is seeking a credit amount of 6304 for a 36-month loan for business purposes.,Bad risk
38,female,2,own,little,moderate,1533,24,radio/TV,3. The applicant is a 38-year-old female with a moderate job level and owns a home. She has little savings but a moderate checking account balance. She is seeking a credit amount of 1533 for a 24-month loan to purchase a radio or TV.,Bad risk
45,male,3,own,little,little,8978,14,car,4. The applicant is a 45-year-old male with a higher job level and owns a home. He has little savings and a little checking account balance. He is seeking a credit amount of 8978 for a 14-month loan to purchase a car.,Bad risk
25,male,2,own,little,moderate,999,24,radio/TV,5. The applicant is a 25-year-old male with a moderate job level and owns a home. He has little savings but a moderate checking account balance. He is seeking a credit amount of 999 for a 24-month loan to purchase a radio or TV.,Good risk
32,male,2,own,little,moderate,2662,18,car,"1. The applicant is a 32-year-old male with a moderate job level, owning a house. He has little savings but a moderate checking account balance. He is seeking a loan of $2,662 for 18 months to finance a car purchase.",Good risk
37,female,2,rent,quite rich,moderate,1402,12,furniture/equipment,"2. The applicant is a 37-year-old female with a moderate job level, renting a house. She has a quite rich savings account and a moderate checking account balance. She is seeking a loan of $1,402 for 12 months to purchase furniture or equipment.",Good risk
36,male,3,free,little,moderate,12169,48,car,"3. The applicant is a 36-year-old male with a good job level, living in free housing. He has little savings but a moderate checking account balance. He is seeking a substantial loan of $12,169 for 48 months to purchase a car.",Bad risk
28,male,2,own,little,moderate,3060,48,radio/TV,"4. The applicant is a 28-year-old male with a moderate job level, owning a house. He has little savings but a moderate checking account balance. He is seeking a loan of $3,060 for 48 months to purchase a radio or TV.",Bad risk
34,male,1,own,little,little,11998,30,repairs,"5. The applicant is a 34-year-old male with a low job level, owning a house. He has little savings and a little checking account balance. He is seeking a significant loan of $11,998 for 30 months to finance repairs.",Bad risk
32,male,2,own,little,moderate,2697,9,radio/TV,"1. This credit applicant is a 32-year-old male with a job level of 2, owning a home. He has little savings but a moderate checking account balance. The credit amount requested is 2697 for a 9-month loan, with the purpose being the purchase of a radio/TV.",Bad risk
26,female,2,own,little,moderate,2404,18,radio/TV,"2. The applicant is a 26-year-old female with a job level of 2, owning a home. She has little savings but a moderate checking account balance. The credit amount requested is 2404 for an 18-month loan, with the purpose being the purchase of a radio/TV.",Bad risk
49,male,1,own,moderate,little,1262,12,furniture/equipment,"3. This applicant is a 49-year-old male with a job level of 1, owning a home. He has moderate savings but a little checking account balance. The credit amount requested is 1262 for a 12-month loan, with the purpose being the purchase of furniture/equipment.",Bad risk
32,female,2,own,little,moderate,4611,6,furniture/equipment,"4. The applicant is a 32-year-old female with a job level of 2, owning a home. She has little savings but a moderate checking account balance. The credit amount requested is 4611 for a 6-month loan, with the purpose being the purchase of furniture/equipment.",Bad risk
29,male,3,rent,moderate,moderate,1901,24,radio/TV,"5. This credit applicant is a 29-year-old male with a job level of 3, renting a home. He has moderate savings and a moderate checking account balance. The credit amount requested is 1901 for a 24-month loan, with the purpose being the purchase of a radio/TV.",Good risk
23,male,2,rent,rich,moderate,3368,15,car,"1. The applicant is a 23-year-old male with a moderate job level, renting accommodation. He has a rich savings account and a moderate checking account balance. The credit amount requested is $3,368 for a car loan with a duration of 15 months.",Good risk
50,male,2,own,little,moderate,1574,12,furniture/equipment,"2. The applicant is a 50-year-old male with a moderate job level, owning a property. He has a little savings account balance and a moderate checking account balance. The credit amount requested is $1,574 for a furniture/equipment loan with a duration of 12 months.",Good risk
49,male,1,own,little,rich,1445,18,radio/TV,"3. The applicant is a 49-year-old male with a low job level, owning a property. He has a little savings account balance and a rich checking account balance. The credit amount requested is $1,445 for a radio/TV loan with a duration of 18 months.",Bad risk
63,male,2,own,moderate,moderate,1520,15,furniture/equipment,"4. The applicant is a 63-year-old male with a moderate job level, owning a property. He has a moderate savings account balance and a moderate checking account balance. The credit amount requested is $1,520 for a furniture/equipment loan with a duration of 15 months.",Good risk
37,male,2,own,moderate,moderate,3878,24,car,"5. The applicant is a 37-year-old male with a moderate job level, owning a property. He has a moderate savings account balance and a moderate checking account balance. The credit amount requested is $3,878 for a car loan with a duration of 24 months.",Good risk
35,female,1,own,little,little,10722,47,car,"1. This applicant is a 35-year-old female with a moderate job level and little savings and checking account balances. She is seeking a loan of $10,722 for a car purchase, with a repayment period of 47 months. As a homeowner, her housing situation is stable, which is a positive factor in her credit profile.",Bad risk
26,male,2,own,little,little,4788,48,car,"2. The applicant is a 26-year-old male with a mid-level job and little savings and checking account balances. He is applying for a car loan of $4,788 with a repayment period of 48 months. While his age and income level may be considered, his lack of substantial savings could be a potential concern for the lender.",Bad risk
31,male,3,free,moderate,moderate,7582,48,vacation/others,"3. This 31-year-old male applicant has a higher job level and moderate savings and checking account balances. He is seeking a loan of $7,582 for vacation or other purposes, with a repayment period of 48 months. His lack of housing costs is a positive factor, but the purpose of the loan may raise questions from the lender.",Bad risk
49,female,2,own,little,moderate,1092,12,radio/TV,"4. The applicant is a 49-year-old female with a mid-level job, little savings, and moderate checking account balance. She is applying for a relatively small loan of $1,092 for a radio/TV purchase, with a repayment period of 12 months. As a homeowner, her housing situation is stable, and the small loan amount may be viewed favorably by the lender.",Good risk
48,male,2,own,little,little,1024,24,radio/TV,"5. This 48-year-old male applicant has a mid-level job and little savings and checking account balances. He is seeking a loan of $1,024 for a radio/TV purchase, with a repayment period of 24 months. While his age and income level may be considered, his lack of substantial savings could be a potential concern for the lender, especially for a non-essential purchase.",Bad risk
26,male,2,own,little,moderate,1076,12,business,"1. The applicant is a 26-year-old male with a moderate job level, who owns a home. He has little savings but a moderate checking account balance. He is seeking a 12-month loan of $1,076 for business purposes.",Good risk
28,male,3,rent,little,moderate,9398,36,car,"2. The applicant is a 28-year-old male with a good job level, who rents his housing. He has little savings but a moderate checking account balance. He is seeking a 36-month loan of $9,398 for the purpose of purchasing a car.",Bad risk
44,female,3,free,little,little,6419,24,car,"3. The applicant is a 44-year-old female with a good job level, who resides in free housing. She has little savings and a little checking account balance. She is seeking a 24-month loan of $6,419 for the purpose of purchasing a car.",Bad risk
56,male,2,free,little,rich,4796,42,car,"4. The applicant is a 56-year-old male with a moderate job level, who resides in free housing. He has little savings but a rich checking account balance. He is seeking a 42-month loan of $4,796 for the purpose of purchasing a car.",Bad risk
46,male,3,own,little,moderate,7629,48,business,"5. The applicant is a 46-year-old male with a good job level, who owns a home. He has little savings but a moderate checking account balance. He is seeking a 48-month loan of $7,629 for business purposes.",Bad risk
26,female,2,own,little,moderate,9960,48,furniture/equipment,"1. The applicant is a 26-year-old female with a job level of 2 who owns her home. She has little savings and a moderate checking account balance. She is seeking a credit amount of $9,960 for a term of 48 months to finance furniture or equipment.",Bad risk
20,female,2,rent,little,moderate,4675,12,car,"2. The applicant is a 20-year-old female with a job level of 2 who rents her housing. She has little savings and a moderate checking account balance. She is requesting a credit amount of $4,675 for a term of 12 months to purchase a car.",Bad risk
45,male,1,own,little,moderate,1287,10,car,"3. The applicant is a 45-year-old male with a job level of 1 who owns his home. He has little savings and a moderate checking account balance. He is seeking a credit amount of $1,287 for a term of 10 months to finance a car purchase.",Bad risk
43,male,2,own,little,moderate,2515,18,furniture/equipment,"4. The applicant is a 43-year-old male with a job level of 2 who owns his home. He has little savings and a moderate checking account balance. He is requesting a credit amount of $2,515 for a term of 18 months to finance furniture or equipment.",Bad risk
32,male,2,own,rich,moderate,2745,21,furniture/equipment,"5. The applicant is a 32-year-old male with a job level of 2 who owns his home. He has a rich savings account and a moderate checking account balance. He is seeking a credit amount of $2,745 for a term of 21 months to finance furniture or equipment.",Good risk
54,female,0,own,little,moderate,672,6,car,"1. The applicant is a 54-year-old female with a moderate checking account balance and little savings. She is seeking a loan of $672 for a car, with a repayment period of 6 months. Her job level and housing situation suggest a stable income and living situation.",Good risk
42,female,2,own,little,moderate,3804,36,radio/TV,"2. This applicant is a 42-year-old female with a moderate checking account balance and little savings. She is employed at job level 2 and owns her home. She is seeking a loan of $3,804 for a radio/TV, with a repayment period of 36 months.",Good risk
37,male,1,own,little,rich,1344,24,car,"3. The applicant is a 37-year-old male with a rich checking account balance and little savings. He is employed at job level 1 and owns his home. He is seeking a loan of $1,344 for a car, with a repayment period of 24 months.",Good risk
49,male,2,own,little,little,1038,10,car,"4. This applicant is a 49-year-old male with little savings and a little checking account balance. He is employed at job level 2 and owns his home. He is seeking a loan of $1,038 for a car, with a repayment period of 10 months.",Good risk
